Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,Events
1,23:41.5,23.2235,18.7675,22.7718,22.0952,23.1941,15.4191,21.1,23.3381, DAQ Start
2,23:42.5,23.3372,18.7861,22.7857,22.1257,23.2108,15.4488,21.1065,23.3474,
3,23:43.5,23.3916,18.8353,22.7681,22.1904,23.2145,15.3419,21.1093,23.3622,
4,23:44.5,23.3806,19.0689,22.7672,22.2422,23.1996,15.5613,21.0936,23.3345,
5,23:45.5,23.2078,19.0995,22.7561,22.3042,23.1886,15.6003,21.1037,23.3363,
6,23:46.5,22.8624,19.0188,22.7487,22.3827,23.1951,15.7035,21.1019,23.3511,
7,23:47.5,22.7376,19.0151,22.7607,22.4456,23.2034,15.737,21.0862,23.3465,
8,23:48.5,22.6591,19.1458,22.7616,22.6914,23.208,15.7583,21.0843,23.3604,
9,23:49.5,22.5981,19.2608,22.7838,23.0472,23.2117,15.7993,21.0686,23.3401,
10,23:50.5,22.6009,19.2858,22.7922,23.231,23.1969,15.7732,21.0131,23.3114,
11,23:51.5,22.624,19.3489,22.7866,23.521,23.2117,15.7741,21.002,23.3086,
12,23:52.5,22.624,19.3461,22.7866,23.6373,23.1803,15.7918,21.002,23.3012,
13,23:53.5,22.6508,19.4063,22.8107,23.8063,23.1756,15.7983,20.9501,23.2606,
14,23:54.5,22.7016,19.3136,22.7922,23.8737,23.1849,15.8364,20.9335,23.2643,
15,23:55.5,22.7433,19.4323,22.8357,23.9337,23.1978,15.8262,20.8909,23.2606,
16,23:56.5,22.759,19.4499,22.8163,23.9715,23.2071,15.8792,20.8484,23.244,
17,23:57.5,22.7654,19.4712,22.8116,23.9928,23.2071,15.8578,20.8484,23.2052,
18,23:58.5,22.7978,19.5833,22.8255,23.9531,23.1979,15.869,20.791,23.1757,
19,23:59.5,22.8024,19.5277,22.8144,23.93,23.1951,15.8773,20.7077,23.148,
20,24:00.5,22.8135,19.6213,22.7857,23.8349,23.1831,15.8625,20.6438,23.0972,
21,24:01.5,22.8431,19.6417,22.8061,23.7398,23.184,15.8374,20.5957,23.0417,
22,24:02.5,22.8431,19.6232,22.7996,23.6872,23.1859,15.7974,20.579,23.0251,
23,24:03.5,22.8689,19.6649,22.8227,23.6124,23.1729,15.8336,20.5068,22.9549,
24,24:04.5,22.9189,19.7307,22.8228,23.5164,23.1628,15.8086,20.4244,22.942,
25,24:05.5,22.9475,19.7529,22.8181,23.4527,23.1323,15.855,20.354,22.8856,
26,24:06.5,22.9936,19.7371,22.5538,23.3696,23.1323,15.8327,20.3198,22.8163,
27,24:07.5,23.0713,19.7677,22.3671,23.3465,23.1147,15.8067,20.2151,22.7442,
28,24:08.5,23.1193,19.7983,22.308,23.3354,23.1129,15.8067,20.192,22.7442,
29,24:09.5,23.2098,19.7112,22.233,23.2994,23.1009,15.8336,20.1105,22.6869,
30,24:10.5,23.2467,19.8862,22.1813,23.2929,23.0843,15.7797,20.079,22.6223,
31,24:11.5,23.3483,19.8705,22.0953,23.2707,23.0787,15.7612,19.9965,22.5613,
32,24:12.5,23.4194,19.8862,22.013,23.2374,23.0833,15.6961,19.9326,22.5243,
33,24:13.5,23.472,19.8751,21.9714,23.2208,23.0538,15.7649,19.8808,22.4716,
34,24:14.5,23.5071,19.9492,21.9177,23.1894,23.064,15.803,19.8289,22.4393,
35,24:15.5,23.6197,20.0733,21.8502,23.1635,23.0492,15.7696,19.7817,22.3653,
36,24:16.5,23.7333,19.9945,21.8354,23.169,23.0594,15.7231,19.6927,22.2886,
37,24:17.5,23.8588,20.0131,21.8437,23.1718,23.0242,15.7798,19.6214,22.248,
38,24:18.5,23.9078,20.165,21.8345,23.1607,23.0215,15.7919,19.5631,22.199,
39,24:19.5,23.9585,20.1557,21.8437,23.1533,23.0215,15.7454,19.5631,22.1518,
40,24:20.5,24.0665,20.0409,21.8715,23.1644,22.9938,15.7584,19.4871,22.0751,
41,24:21.5,24.1708,20.0427,21.9204,23.1699,22.7332,15.7082,19.3796,22.0242,
42,24:22.5,24.2565,20.0371,21.9962,23.1727,19.892,15.7157,19.2897,21.9207,
43,24:23.5,24.2565,20.0436,21.9962,23.1579,17.6807,15.6933,19.222,21.8633,
44,24:24.5,24.3839,20.0917,22.0859,23.2207,16.3075,15.7565,19.171,21.768,
45,24:25.5,24.4789,20.1065,22.1294,23.2216,14.7971,15.6599,19.0996,21.6829,
46,24:26.5,24.5989,20.1649,22.2024,23.2808,13.9255,15.6952,19.0292,21.6543,
47,24:27.5,24.6468,20.226,22.2107,23.3112,13.2908,15.6654,18.9596,21.5655,
48,24:28.5,24.7538,20.2186,22.2366,23.3593,12.991,15.6134,18.9114,21.5026,
49,24:29.5,24.8028,20.2502,22.2487,23.3796,12.7331,15.6301,18.891,21.4628,
50,24:30.5,24.9051,20.2539,22.2542,23.3953,12.3448,15.6041,18.8234,21.423,
51,24:31.5,24.9946,20.3335,22.2524,23.4249,11.9787,15.592,18.7483,21.3407,
52,24:32.5,25.0351,20.2946,22.2292,23.4562,11.6684,15.6125,18.7167,21.2417,
53,24:33.5,25.1227,20.3251,22.2412,23.5135,11.5575,15.5632,18.6314,21.1732,
54,24:34.5,25.1559,20.3251,22.2533,23.5135,11.4513,15.5102,18.598,21.1353,
55,24:35.5,25.2296,20.3445,22.2458,23.5282,11.2221,15.4257,18.5601,21.1131,
56,24:36.5,25.2804,20.4075,22.2708,23.5744,11.0823,15.5187,18.498,21.0391,
57,24:37.5,25.3597,20.4279,22.2459,23.6178,11.0087,15.5568,18.472,20.9827,
58,24:38.5,25.4574,20.3992,22.2616,23.6585,10.8586,15.4043,18.4117,20.9021,
59,24:39.5,25.5302,20.4622,22.3078,23.712,10.7299,15.4629,18.3347,20.8447,
60,24:40.5,25.5791,20.4715,22.3051,23.7167,10.6609,15.4433,18.2901,20.8095,
61,24:41.5,25.627,20.5067,22.3143,23.761,10.5658,15.3122,18.2642,20.7401,
62,24:42.5,25.6906,20.5224,22.3171,23.8034,10.5444,15.3931,18.2178,20.6753,
63,24:43.5,25.7735,20.5659,22.3337,23.8228,10.4558,15.4136,18.1798,20.6133,
64,24:44.5,25.8334,20.6687,22.33,23.8764,10.3682,15.4071,18.1288,20.5679,
65,24:45.5,25.8334,20.6298,22.33,23.8874,10.3374,15.4071,18.0991,20.5466,
66,24:46.5,25.9016,20.6196,22.3772,23.9124,10.2842,15.473,18.048,20.4549,
67,24:47.5,25.9606,20.6298,22.3744,23.9474,10.2143,15.3252,17.9961,20.3994,
68,24:48.5,26.049,20.6992,22.4012,23.9992,10.1835,15.3169,17.9478,20.3688,
69,24:49.5,26.0684,20.7205,22.4188,24.0259,10.1378,15.3875,17.9107,20.2948,
70,24:50.5,26.1523,20.8131,22.4595,24.0933,10.1183,15.3448,17.8783,20.2272,
71,24:51.5,26.1993,20.803,22.4873,24.1257,10.0782,15.1979,17.8643,20.191,
72,24:52.5,26.2517,20.8159,22.5002,24.145,10.0483,15.2341,17.8068,20.117,
73,24:53.5,26.3273,20.8113,22.552,24.205,10.0428,15.2054,17.7725,20.0929,
74,24:54.5,26.3466,20.8363,22.5668,24.2401,10.0297,15.3588,17.7373,20.0448,
75,24:55.5,26.3853,20.8539,22.5843,24.2779,10.0456,15.3876,17.7531,20.042,
76,24:56.5,26.4222,20.8511,22.5991,24.2826,10.0419,15.0986,17.7281,19.9828,
77,24:57.5,26.506,21.0048,22.6213,24.3324,10.0168,15.3003,17.6891,19.9319,
78,24:58.5,26.5189,20.9964,22.6333,24.3822,10.0102,15.3505,17.6325,19.8855,
79,24:59.5,26.5686,20.9724,22.6564,24.42,9.9664,15.2138,17.6084,19.805,
80,25:00.5,26.6432,20.9955,22.6925,24.4681,9.9701,15.0614,17.561,19.7383,
81,25:01.5,26.6717,20.9752,22.71,24.4911,9.9739,15.0158,17.5378,19.6956,
