Time(min),Pressure_red(bar),Pressure_blue(bar),I(A),U(V)
1,4.4,4.25,0.00,234.1
2,5.8,3.40,0.88,234.1
3,6.0,3.35,0.91,234.1
4,6.4,3.15,0.91,234.1
5,6.6,2.95,0.92,234.1
6,6.9,2.85,0.93,234.1
7,7.1,2.70,0.89,234.1
8,7.3,2.60,0.89,234.1
9,7.60,2.65,0.90,234.1
10,7.8,2.45,0.89,234.1
11,8.0,2.45,0.90,234.1
12,8.2,2.30,0.90,234.1
13,8.4,2.30,0.90,234.1
14,8.6,2.25,0.90,234.1
15,8.8,2.20,0.90,234.4
16,9.0,2.20,0.90,234.5
17,9.2,2.10,0.90,234.8
18,9.4,2.10,0.90,234.6
19,9.6,1.95,0.90,234.7
20,9.8,2.00,0.90,234.6
21,10.0,1.95,0.89,234.4
22,10.1,1.90,0.89,234.8
23,10.2,1.95,0.90,234.7
24,10.4,1.80,0.89,234.8
25,10.6,1.80,0.89,234.8
26,10.8,1.90,0.89,234.9
27,10.9,1.80,0.89,235.1
28,11.0,1.89,0.89,234.4
29,11.2,1.95,0.80,232.4
30,11.3,1.80,0.89,232.6
31,11.4,1.85,0.87,232.7
32,11.6,1.90,0.89,232.8
33,11.8,1.80,0.89,232.9
34,11.9,1.80,0.89,233.0
35,12.0,1.90,0.89,232.9
36,12.2,1.80,0.89,232.9
37,12.3,1.80,0.89,232.7
38,12.4,1.85,0.89,232.6
39,12.6,1.80,0.89,232.5
40,12.7,1.80,0.89,232.4


