Nr.,D/cm,D_err/cm,t/s
1,140,0.2,3.6456
2,140,0.2,3.6546
3,140,0.2,3.6485
4,140,0.2,3.6549
5,140,0.2,3.651
1,120,0.2,3.0534
2,120,0.2,3.0577
3,120,0.2,3.0573
4,120,0.2,3.0567
5,120,0.2,3.0737
1,100,0.2,2.5043
2,100,0.2,2.5119
3,100,0.2,2.5085
4,100,0.2,2.508
5,100,0.2,2.5069
1,80,0.2,1.9866
2,80,0.2,1.9859
3,80,0.2,1.982
4,80,0.2,1.9856
5,80,0.2,1.9879
1,60,0.2,1.4787
2,60,0.2,1.476
3,60,0.2,1.4768
4,60,0.2,1.4798
5,60,0.2,1.4774
1,40,0.2,0.9811
2,40,0.2,0.9817
3,40,0.2,0.982
4,40,0.2,0.9817
5,40,0.2,0.9836
1,20,0.2,0.4897
2,20,0.2,0.4886
3,20,0.2,0.4894
4,20,0.2,0.489
5,20,0.2,0.4849
